symbol	unit	months	first	last	bytes	md5	filename
nvda	2016	12	201601	201612	5477824	79e3dba4727261fd969f0aed3875e165	nvda_eod_2016.7z
nvda	2017	12	201701	201712	7411963	f95555ffcd62b60d2ca6d63c5c72cd3f	nvda_eod_2017.7z
nvda	2018	12	201801	201812	8497824	65e422f7c0ff568fb04ffbe6023f397c	nvda_eod_2018.7z
nvda	2019	12	201901	201912	8034731	692fecf781f96049912ccf7513730089	nvda_eod_2019.7z
nvda	2020	12	202001	202012	15199159	2c83d851d6c2f30e07290a49518fccf1	nvda_eod_2020-j87zgv.7z
nvda	2021	12	202101	202112	19929254	9b832e3e729e6b15b3a163c1b9dc79c3	nvda_eod_2021-nwwihl.7z
nvda	2022q1	3	202201	202203	4715789	d58c67670770c35df68216d410083b0c	nvda_eod_2022q1-oukjbi.7z
nvda	2022q2	3	202204	202206	4418465	a0afe97de545989d83a58e75c24e444c	nvda_eod_2022q2-v8t2sp.7z
nvda	2022q3	3	202207	202209	4218191	3c4cdfd8d96efd97dbaf86d66cde3b6b	nvda_eod_2022q3-q6zndi.7z
nvda	2022q4	3	202210	202212	3943770	c11562a7bb49d9e9b25d584a76b00041	nvda_eod_2022q4-l24d1d.7z
nvda	2023q1	3	202301	202303	3866838	237462b763af2de69e137fc1f4dec647	nvda_eod_2023q1-0x56e5.7z
nvda	2023q2	3	202304	202306	5965984	eb900774e2a1414914ae392223183281	nvda_eod_2023q2-miyyse.7z
nvda	2023q3	3	202307	202309	7830648	865842e17e2d36f6506f366c11ebf01c	nvda_eod_2023q3-vzquiq.7z
nvda	2023q4	3	202310	202312	8081221	66410f0dc37593bcd18f411b3343121d	nvda_eod_2023q4-jf5cdq.7z
qqq	2012	12	201201	201212	6868413	f8b6c28efda925966942cf718b3a8563	qqq_eod_2012-wdbysj.7z
qqq	2013	12	201301	201312	8126674	f1ab78a34f0cd4159099179406878a2b	qqq_eod_2013-p2jnvv.7z
qqq	2014	12	201401	201412	12143319	adc71881e5497468a26283d43d68a4a8	qqq_eod_2014-umgq4y.7z
qqq	2015	12	201501	201512	12134618	7eb66c6d0a958b9a3c6271a2b0a6def7	qqq_eod_2015-m0d0ta.7z
qqq	2016	12	201601	201612	12017441	00944658a14106db06ecf4f2d0bf66b5	qqq_eod_2016-xkwtz0.7z
qqq	2017	12	201701	201712	15107094	d6af8a0804d8d1dd4a362f0b5cd64591	qqq_eod_2017-s8pdzm.7z
qqq	2018	12	201801	201812	18973441	c5eed65be0d8637ad1c1cace2b329d23	qqq_eod_2018-98tgoe.7z
qqq	2019	12	201901	201912	19894710	5271a7ea4c447b8aee355de0ba7d0467	qqq_eod_2019-qwdtjt.7z
qqq	2020	12	202001	202012	36435358	d336aa3f8aef40db28383385ab7219d0	qqq_eod_2020-53tfvm.7z
qqq	2021q12	6	202101	202106	20551953	027033916caedce9ed9957159de7aad1	qqq_eod_2021q12-xlxhz5.7z
qqq	2021q3	3	202107	202109	11590833	ec3e70e5b13323984ccf56c31466d18c	qqq_eod_2021q3-7owdhx.7z
qqq	2021q4	3	202110	202112	12076424	1b5e2067b672f626ab0ac024ac689cb3	qqq_eod_2021q4-abp0hg.7z
qqq	2022q1	3	202201	202203	11385700	d94c73ca8d2d027f6f3d52fc8de4e549	qqq_eod_2022q1-xmjvuc.7z
qqq	2022q2	3	202204	202206	10688309	f120bda025b30f51ceff897394cbc043	qqq_eod_2022q2-jfc907.7z
qqq	2022q3	3	202207	202209	10755337	b2e74a1c3d6cf4b432613e1c751f24ac	qqq_eod_2022q3-d7lqwd.7z
qqq	2022q4	3	202210	202212	9151068	12fdd64731ecb62dffe486e1bc60becb	qqq_eod_2022q4-e0jxex.7z
qqq	2023q1	3	202301	202303	9779780	b112fb8178d64cc72b077d816563cbb6	qqq_eod_2023q1-nereup.7z
qqq	2023q2	3	202304	202306	10458222	531b891c8c6b7903cccb91ff496dd0db	qqq_eod_2023q2-wr1vlc.7z
qqq	2023q3	3	202307	202309	10798647	8651e7519ee52607693d56ada1904077	qqq_eod_2023q3-whqere.7z
qqq	2023q4	3	202310	202312	10221193	a3bf0ec32388b4f350aac48d9596cb5b	qqq_eod_2023q4-a14de3.7z
spx	2010	12	201001	201012	10062621	c0bdc753a9c702aa5ec18f2950a278a7	spx_eod_2010-hixkhi.7z
spx	2011	12	201101	201112	10974757	2d0d62289e3aed5a8f547ab2ef29829c	spx_eod_2011-mpv77a.7z
spx	2012	12	201201	201212	13841109	baabe234214fc9c9bf149468e8ae957a	spx_eod_2012-ftrobg.7z
spx	2013	12	201301	201312	16832845	07b9b7e3c3331da58c3004e6cd263947	spx_eod_2013-3p7m9u.7z
spx	2014	12	201401	201412	25533415	6e91e1fd8625009c30711d449da03fde	spx_eod_2014-4ky8n2.7z
spx	2015	12	201501	201512	41049379	e94806c0d354775e2b71a1907e615245	spx_eod_2015-amtjlk.7z
spx	2016	12	201601	201612	40484608	b003327893a5bc4208d32ff25ef5fafa	spx_eod_2016-rctzlw.7z
spx	2017	12	201701	201712	44644336	75158cee81648f35c24d573a8780468c	spx_eod_2017-xspity.7z
spx	2018	12	201801	201812	66011849	f7065522bc6bf36fcd9d91786b86db56	spx_eod_2018-uqawfl.7z
spx	2019	12	201901	201912	69094858	19d04a34e69a133d236abcf4b150f821	spx_eod_2019-chxexe.7z
spx	2020	12	202001	202012	87337248	f86f7e990ab3b2ebcdb035cb66bef107	spx_eod_2020-wh6jt7.7z
spx	2021	6	202101	202106	47391710	0f08a87a2a2455ac5d7220502e07487e	spx_eod_2021-n4uqkm.7z
spx	2021q3	3	202107	202109	25318037	c83abdce506859c19f7f02d672ebffee	spx_eod_2021q3-kgzold.7z
spx	2021q4	3	202110	202112	29074003	d6eae44bb48d9bdee6891379dd0c06e1	spx_eod_2021q4-r3h0dx.7z
spx	2022q1	3	202201	202203	26627327	08d32142c3b8371272f7b18b8bd8f0d2	spx_eod_2022q1-ff0r18.7z
spx	2022q2	3	202204	202206	24615507	7249efea94831059c3c810774e9e3337	spx_eod_2022q2-bxgzw0.7z
spx	2022q3	3	202207	202209	25370865	12503bb03b90351cc526f583f32ae5b1	spx_eod_2022q3-1f2afi.7z
spx	2022q4	3	202210	202212	25302991	5d84a17a956b2517d06c84bad26d25c0	spx_eod_2022q4-dmme3k.7z
spx	2023q1	3	202301	202303	22905217	dc324b94ed2c85ed605c0211f7ac17c0	spx_eod_2023q1-cfph7w.7z
spx	2023q2	3	202304	202306	22853104	41c3045c60e2e1e3b1f2356740f0d4c7	spx_eod_2023q2-kdxt36.7z
spx	2023q3	3	202307	202309	24709486	62958de5feedbe475bb734252462e175	spx_eod_2023q3-w9b0jk.7z
spx	2023q4	3	202310	202312	26303902	367d868e2dd9bca07e6eff915348f0b6	spx_eod_2023q4-ai4uc9.7z
spy	2010	12	201001	201012	12305369	94891e1ff77624329d1972c3c9ba8de9	spy_eod_2010-bndqqt.7z
spy	2011	12	201101	201112	13641119	a38ab437d7fb61f64f7fe80fe368dba0	spy_eod_2011-vdjy9h.7z
spy	2012	12	201201	201212	15895758	211775b10833858f9e4ce0eace3c1abf	spy_eod_2012-gghtsj.7z
spy	2013	12	201301	201312	16707036	5a5149cb40dda76eb6bee0586dc59f6e	spy_eod_2013-davchg.7z
spy	2014	12	201401	201412	19950074	4814121e0235a4bf12842829be2e6a7e	spy_eod_2014-6rlzuz.7z
spy	2015	12	201501	201512	23547618	e22e96944ceb70891e9b5f93dc5a0694	spy_eod_2015-2djnnd.7z
spy	2016	12	201601	201612	25788259	0ada609f4d09cbfa5a4a973bd4d632ef	spy_eod_2016-6kgvva.7z
spy	2017	12	201701	201712	28756163	018757f48a2b520a70fe9c3e90e442e3	spy_eod_2017-owhrwk.7z
spy	2018	12	201801	201812	37060738	bcbe19a5791f5010e0cb33f27cef7bf1	spy_eod_2018-7fpgd6.7z
spy	2019	12	201901	201912	41489602	d25cbd0ea0ba6e67fb703b9fe1b58c5e	spy_eod_2019-eotnx0.7z
spy	2020	12	202001	202012	58537127	fde7e83c3e51b0b51de4fc65f73ed07a	spy_eod_2020-kwe0mi.7z
spy	2021	12	202101	202112	63005392	e68dbbfd17bbdb1f4403ed21d68559ff	spy_eod_2021-borwkq.7z
spy	2022q1	3	202201	202203	15054780	a5361091b6421b048e78cbec9168e090	spy_eod_2022q1-ww0cra.7z
spy	2022q2	3	202204	202206	13787264	11135671894ab6445faef5e7aa5f9c23	spy_eod_2022q2-xofvwa.7z
spy	2022q3	3	202207	202209	14005716	3a968b72762ceb32aae5ef4f0f331c85	spy_eod_2022q3-we1um1.7z
